district_id,district,error
WY-1,5600,3.825932114172332
WV-2,5402,-3.2670467071825016
WV-1,5401,-0.6763740658938602
WI-8,5508,0
WI-7,5507,-2.383163039734086
WI-6,5506,0
WI-5,5505,-2.3570617424314477
WI-4,5504,-3.6483980179762057
WI-3,5503,-2.2942838980966798
WI-2,5502,-3.2985290840881447
WI-1,5501,-4.650688101223395
WA-9,5309,-0.40404228278252674
WA-8,5308,-0.6512089018694098
WA-7,5307,-2.7206222529348736
WA-6,5306,-2.0892606462443197
WA-5,5305,-2.338488014529638
WA-4,5304,3.0801941956797556
WA-3,5303,-4.283200693920804
WA-2,5302,0.23109429962187988
WA-1,5301,1.7834352295395846
WA-10,5310,2.017035761281754
VT-1,5000,-10.409866678704908
VA-9,5109,-0.31901225599226635
VA-8,5108,-1.0380924081854488
VA-7,5107,-0.8092730947636753
VA-6,5106,-2.059326058218261
VA-5,5105,-2.5130886369008394
VA-4,5104,3.0649615817100226
VA-3,5103,1.1147208805648035
VA-2,5102,2.553190936756266
VA-1,5101,-5.515264371825062
VA-11,5111,1.95931693619562
VA-10,5110,0.21088070404253045
UT-4,4904,-0.11271370763056865
UT-3,4903,3.072220882708251
UT-2,4902,2.367889839815419
UT-1,4901,5.962412999288567
TX-9,4809,-1.2590309310547951
TX-8,4808,4.3987039515188755
TX-7,4807,0.821770523308814
TX-6,4806,0
TX-5,4805,-3.263605746521179
TX-4,4804,-1.5966736022797008
TX-38,4838,-1.368153430679854
TX-37,4837,-7.443946508594124
TX-36,4836,-0.8318591157303032
TX-35,4835,-6.0007675760897
TX-34,4834,-2.3585786177331514
TX-33,4833,-2.1827788610266765
TX-32,4832,-0.7895089335266334
TX-3,4803,-1.2440650310026697
TX-31,4831,0
TX-30,4830,-7.182152418093651
TX-29,4829,-1.6485883388325533
TX-28,4828,-0.40806280382160054
TX-27,4827,-2.656715339114278
TX-26,4826,0
TX-25,4825,0
TX-24,4824,-5.765771899006815
TX-23,4823,-1.3582519525742285
TX-22,4822,-4.005343966759781
TX-2,4802,-2.9885778154060603
TX-21,4821,-3.3303478123764165
TX-20,4820,-2.913914941178575
TX-19,4819,0
TX-18,4818,-1.9562869052405176
TX-17,4817,-0.3140076576119526
TX-16,4816,4.955693993407756
TX-15,4815,1.2704113197833067
TX-14,4814,-1.8058507277805056
TX-13,4813,1.4025821641522924
TX-12,4812,-2.3115610600098506
TX-1,4801,6.019681230169059
TX-11,4811,0
TX-10,4810,-1.7994734701743909
TN-9,4709,-1.4921937938339482
TN-8,4708,0.7424899453636549
TN-7,4707,-3.953711245098873
TN-6,4706,-3.137265996131532
TN-5,4705,2.690166168926744
TN-4,4704,-2.8150852583790495
TN-3,4703,-2.9453308176831605
TN-2,4702,-2.0054918980344603
TN-1,4701,-1.1466818136656087
SD-1,4600,0
SC-7,4507,3.499097675859076
SC-6,4506,4.21652424189525
SC-5,4505,-2.037070818404871
SC-4,4504,0
SC-3,4503,0
SC-2,4502,-3.1938935080153
SC-1,4501,-6.442937376866709
RI-2,4402,-7.215910613499453
RI-1,4401,3.8158300268446084
PA-9,4209,-2.0842127856660397
PA-8,4208,0.31338578801179295
PA-7,4207,-1.0928436764935583
PA-6,4206,0.996340026432641
PA-5,4205,1.4275705309421909
PA-4,4204,-0.7241200446239375
PA-3,4203,-8.805539999999993
PA-2,4202,-2.8701340274620435
PA-17,4217,-3.292059348388399
PA-16,4216,-5.399299421588111
PA-15,4215,-1.1529122347074576
PA-14,4214,0
PA-13,4213,0
PA-12,4212,-1.0571665675363917
PA-1,4201,-0.6132801071262008
PA-11,4211,-4.188189768731299
PA-10,4210,1.162555255602733
OR-6,4106,-4.76024597322251
OR-5,4105,-0.48573534092739834
OR-4,4104,-5.4011549253682105
OR-3,4103,-3.9978035423703346
OR-2,4102,0.9990599903766011
OR-1,4101,0.31514905240547364
OK-5,4005,-5.7312253908247754
OK-4,4004,-2.937929346325472
OK-3,4003,0.2531185658232715
OK-2,4002,-0.18241377108319767
OK-1,4001,-5.497805844557455
OH-9,3909,-4.1752286439865856
OH-8,3908,-1.5982231183575664
OH-7,3907,-1.30521927625297
OH-6,3906,0.29621699356278697
OH-5,3905,0.024002811850714068
OH-4,3904,-2.054569863611718
OH-3,3903,0.8318587433632558
OH-2,3902,0.08457755681256174
OH-15,3915,-2.580029754726624
OH-14,3914,-0.5737458879364112
OH-13,3913,-3.179621437220675
OH-12,3912,0.600850507380585
OH-1,3901,-3.7322443888217194
OH-11,3911,0.35166318329696367
OH-10,3910,3.9420064562313755
NY-9,3609,-12.581760000000003
NY-8,3608,4.280797071695346
NY-7,3607,-0.10905179570126222
NY-6,3606,4.389834075612207
NY-5,3605,4.9504616679706
NY-4,3604,2.138640782395541
NY-3,3603,4.439868177683891
NY-26,3626,-1.4347735453106054
NY-25,3625,0.5837060020275402
NY-24,3624,2.364268782807379
NY-23,3623,5.231227470627694
NY-22,3622,1.0506839992125379
NY-2,3602,7.018886258386232
NY-21,3621,-1.9290463707783374
NY-20,3620,5.4425074301193845
NY-19,3619,2.8986810352877797
NY-18,3618,4.597619645848425
NY-17,3617,1.9036623870827611
NY-16,3616,7.401272691135546
NY-15,3615,0.7388260028449452
NY-14,3614,4.644590840208679
NY-13,3613,0
NY-12,3612,-1.0217099296198597
NY-1,3601,2.192395476925853
NY-11,3611,7.693881489114851
NY-10,3610,-3.584811235473765
NV-4,3204,-0.6083046492952136
NV-3,3203,-2.4922189238015093
NV-2,3202,-1.8042901082625136
NV-1,3201,-6.973361999663197
NM-3,3503,1.0803745734197108
