district_id,district,error
AL.1,0101,0
AL.2,0102,1.8745142839589093
AL.3,0103,1.6713845237116445
AL.4,0104,3.6804128516531485
AL.5,0105,-1.1410016374666156
AL.6,0106,0
AL.7,0107,3.0515196807991174
AR.1,0501,1.0600224865141108
AR.2,0502,1.9923708011544932
AR.3,0503,-2.060295465481108
AR.4,0504,2.087839286032221
AZ.1,0401,-3.219220221944923
AZ.2,0402,0.49193302274857587
AZ.3,0403,-0.9171106340448887
AZ.4,0404,-0.8234511948303194
AZ.5,0405,-6.313154357491804
AZ.6,0406,-1.956120615712564
AZ.7,0407,1.7412430760221511
AZ.8,0408,0
AZ.9,0409,0
CA.1,0601,-3.2599202112721244
CA.10,0610,0
CA.11,0611,0.5270672129173164
CA.12,0612,-1.0327728205658104
CA.13,0613,2.7072155519858754
CA.14,0614,5.282626336196657
CA.15,0615,0
CA.16,0616,0
CA.17,0617,3.035800234593765
CA.18,0618,4.235234121008659
CA.19,0619,0.606939826625279
CA.2,0602,1.7557399553469821
CA.20,0620,-2.0280949853856853
CA.21,0621,2.0495693965359933
CA.22,0622,3.384424284772294
CA.23,0623,0.9416030055884477
CA.24,0624,4.2455350620478995
CA.25,0625,-1.7081435884145222
CA.26,0626,1.9337783117335832
CA.27,0627,7.279042984081769
CA.28,0628,3.4595165708058744
CA.29,0629,0
CA.3,0603,-3.220939128693466
CA.30,0630,0
CA.31,0631,9.15341919021845
CA.32,0632,4.257911373757267
CA.33,0633,5.4538210591766685
CA.34,0634,0
CA.35,0635,7.0019094863204785
CA.36,0636,2.523354871106605
CA.37,0637,0
CA.38,0638,6.789853864801188
CA.39,0639,5.420024324667409
CA.4,0604,2.841296065246425
CA.40,0640,1.9602793848732603
CA.41,0641,-3.4419246939414663
CA.42,0642,8.304169829538054
CA.43,0643,4.71144333499403
CA.44,0644,5.491951029026097
CA.45,0645,3.879669584381915
CA.46,0646,6.354141057269764
CA.47,0647,4.112331484058274
CA.48,0648,-3.2599507374997714
CA.49,0649,0.8668148597480752
CA.5,0605,-2.637073740449594
CA.50,0650,3.505770469391308
CA.51,0651,1.9168873510049806
CA.52,0652,3.815881644132702
CA.6,0606,0.9340551135168411
CA.7,0607,2.4071570217621456
CA.8,0608,1.6282625703356643
CA.9,0609,-1.811985396167259
CO.1,0801,-2.716313825929987
CO.2,0802,-1.0004660141834734
CO.3,0803,-5.702784902212052
CO.4,0804,-3.93026365860689
CO.5,0805,-5.076155559078785
CO.6,0806,0.524066549523603
CO.7,0807,-3.5916744865397874
CO.8,0808,-1.8253605533939137
CT.1,0901,1.865819291021296
CT.2,0902,-2.3389006772421084
CT.3,0903,2.8504517870284545
CT.4,0904,2.084158124397895
CT.5,0905,0.7420061098786022
FL.1,1201,1.7539796955397762
FL.10,1210,6.874665625676954
FL.11,1211,1.5854782762140616
FL.12,1212,0.028851768525939292
FL.13,1213,1.2607549386911643
FL.14,1214,4.772106556124548
FL.15,1215,3.348653492745001
FL.16,1216,0.20910300675057414
FL.17,1217,0.13086275253809987
FL.18,1218,0
FL.19,1219,2.6406607708116674
FL.2,1202,1.8674171722000565
FL.20,1220,-4.986285010879612
FL.21,1221,2.148977607229064
FL.22,1222,5.5681131261656915
FL.23,1223,6.820812604849671
FL.24,1224,4.0613990374290125
FL.25,1225,6.299109529802948
FL.26,1226,9.21004017614045
FL.27,1227,6.364962311417976
FL.28,1228,8.801030686603099
FL.3,1203,1.7622619628451943
FL.4,1204,1.725878818345123
FL.6,1206,0
FL.7,1207,0.7567578308143084
FL.8,1208,-0.17043968837789691
FL.9,1209,4.391494775440904
GA.1,1301,-0.6284389845713321
GA.10,1310,-4.114017224872512
GA.11,1311,-1.2533929962929875
GA.12,1312,-1.070091134896046
GA.13,1313,-3.3011030019465437
GA.14,1314,-4.230937305914427
GA.2,1302,-1.6129225722240577
GA.3,1303,-3.3527001022118306
GA.4,1304,-0.5368067865375963
GA.5,1305,-2.5470587923293238
GA.6,1306,-3.4346700827894523
GA.7,1307,1.97996765570646
GA.8,1308,-0.8006840596029043
GA.9,1309,-1.2073853851362806
HI.1,1501,-10.006521297894878
HI.2,1502,3.3851964149912632
IA.1,1901,0.4527949379087417
IA.2,1902,0.869881478779611
IA.3,1903,-0.12895483449534595
IA.4,1904,0.9819370377541219
ID.1,1601,0.4775679730374627
ID.2,1602,-3.954279914396352
IL.1,1701,8.054862494415914
IL.10,1710,-0.9840522689795392
IL.11,1711,0.43093227287192803
IL.12,1712,-2.9960672234153805
IL.13,1713,-1.3400345257841195
IL.14,1714,2.1870012639802567
IL.15,1715,-1.8797258414243458
IL.16,1716,-1.4972791492746893
IL.17,1717,-0.3783477745559978
IL.2,1702,4.070650930703394
IL.3,1703,6.3187375117597355
IL.4,1704,4.227676176899692
IL.5,1705,2.0281377548558908
IL.6,1706,0.9317845949905603
IL.7,1707,0
IL.8,1708,3.172218785911788
IL.9,1709,1.0470091457154638
IN.1,1801,-0.38327742152753785
IN.2,1802,0.08841120850124895
IN.3,1803,-2.0467367050969933
IN.4,1804,-1.9322406445030715
IN.5,1805,-2.8711212375083903
IN.6,1806,-4.701420465501791
IN.7,1807,0.8475739608029045
IN.8,1808,-2.112145389057755
IN.9,1809,-4.3478138252075595
KS.1,2001,-1.6949220957439763
KS.2,2002,-0.6857751332384012
KS.3,2003,-2.081695978572988
KS.4,2004,-3.8938766918441345
KY.1,2101,-0.8265886127634303
KY.2,2102,-1.3230266085765017
KY.3,2103,0.47174996203873576
KY.4,2104,-1.2490101498790764
KY.5,2105,0.501453101590112
